text,label
"But I really really hope the neighbours don’t see, or if they do, that they think she’s a rocket.",1
"Chloe was writing twirly patterns of stars in the sky, and Katie was sure that lots of people must have noticed.",0
She heard,0
oohs,1
from the next door garden – then she ran through the house and out the front and found that a small crowd of people were standing in the street gazing up at the magical display.,0
"That’s some firework,",1
said a bald man.,0
"Impressive,",1
said a woman.,0
Did it come from a back garden?,1
But a little boy said something that Katie didn’t want to hear.,0
That’s not a firework.,1
Fireworks don’t go on for a long time like that.,1
Look it’s a witch!,1
His mother ticked him off:,0
"Don’t be silly, witches only exist in books,",1
but his sister shouted:,0
Yippee I’ve seen a real life witch!,1
Oh Yikes!,1
thought Katie.,0
I’ll never live this down.,1
The bald man started taking pictures with his mobile phone:,0
"I’ll put these on Facebook,",1
he said.,0
"No better still, I’ll take a movie and send it to the TV Station. ‘Witch Flies on Halloween!’ They’ll pay good money for pictures like these.",1
"But then the broom stick started to swoop back down from the moonlit sky – it was coming down really fast, and very steeply – and Katie wondered how her Great Aunt managed to hang on, especially at her age.",0
"But then, she wasn’t hanging on any more – she slid off the stick and was dangling by one arm.",0
Katie put her hands to her face:,0
I can’t bear to look anymore,1
she said.,0
But through a chink in her fingers she saw her Great Aunt come tumbling off her stick and fall down somewhere into the park.,0
Katie screamed,0
AAAHH THAT’S MY Aunt!,1
and people stared at her.,0
She was too alarmed to care.,0
She was running down the road to the entrance to the park.,0
"The gate was locked, but she managed to vault over it with a quick little weight-defying spell that made her bound like she was on the moon.",0
"She wasn’t quite sure where her Great Aunt had landed, but she thought that she must have broken every bone in her body.",0
"Then, as she got near the lake, she had another fright.",0
A weird creature was wading through the water.,0
Katie froze.,0
"Could it be,",1
"she thought,",0
some kind of ghoul that wakes up on Halloween?,1
– but of course it wasn’t a ghoul – it was her Great Aunt who had landed in the pond.,0
YEE-HA!,1
she called.,0
Did you see me fly Katie?,1
Just like the old days.,1
Only I seem to have broken my broom.,1
Pity. I’ve had that one since way back when.,1
They don’t make ‘em like that anymore.,1
"The next day, Isis sent Katie a link to a video on YouTube. It showed a Halloween Witch flying over the rooftops amid the fireworks and crashing.",0
Only most of the comments were agreed on one thing:,0
NICE FAKE!,1
This was one of the good things about magic.,0
"If people don’t believe in it, they will think it’s just trickery when they see it.",0
"When Katie got to school on Monday, nobody was teasing her.",0
Emma even said:,0
I wish I had a Great Aunt like yours.,1
She was really cool in her costume.,1
All my relatives are so boring they are just embarrassing.,1
"At first Katie thought,",0
"If only my relatives were boring, I’d be so glad.",1
And then she realised:,0
"Yes, people are often a bit embarrassed about their family – but usually there is no need, because other people see them quite differently.",1
"But all the same, she was glad that Halloween was over, and that her Great Aunt Chloe had flown home safely on a new broom stick that couldn’t go nearly as fast as the old one.",0
"And that was the story of Katie’s Halloween Aunt. Before I go, I’d like to let you know that Storynory is now putting some books on Kindle, to see if people would like to read our stories that way.",0
"Check out the Kindle store on Amazon for our story Katie and the Witch’s Swap, as well as some others we’ve put up there.",0
"And just in case you don’t know – you can download the Kindle app for computers and mobile phones, as well as the Kindle device.",0
And Storynory has a new Katie song out.,0
"It’s all about Katie and it’s called,",0
Don’t be Scared of Halloween.,1
"It’s sung by our very own Gabriella, so do go to Storynory.com where you can download the mpthree for free!",0
"For now, from me, Natasha Bye Bye!",0
Story by Bertie. Read by Natasha. Duration twenty-two.fifty-one.,0
Proofread by Jana Elizabeth. It was December. Jason and his family were in the Airport. The loud speaker announced:,0
"Last call for Flight IC three hundred and seventy-seven to Reykjavik. All passengers due to board this flight, please make your way to departure gate forty-two.",1
And Dad said:,0
Bags of time yet.,1
I still need some duty-frees.,1
And Mum said:,0
Just wait here while I pop to the loo.,1
And Jason waited.,0
"And when Mum and Dad both finally got back, they all had to run to catch the plane.",0
They were the last on board –,0
as usual,1
"– thought Jason. When eventually they were in the air above the grey clouds of London, Mum said to him:",0
What a sad face you have?,0
Aren’t you excited to be spending Christmas in Iceland?,0
Why there’s ice and snow guaranteed – and volcanos too....,0
"Well yes,",1
"said Jason,",0
But what?,1
asked Dad,0
But Santa doesn’t go to Iceland does he?,1
said Jason.,0
What’s the point of spending Christmas in the one country where Santa doesn’t visit.,1
"Even if there’s ice and snow and volcanoes, Christmas isn’t any use without Santa.",1
Mum and Dad both laughed.,0
"Why of course he visits iceland,",1
said Dad.,0
It’s practically next door to where he lives.,1
It’s his very first stop on his round-the-world tour every Christmas.,1
Jason tried to look cheerful:,0
Is that all right then?,1
"asked Dad,",0
because you don’t look completely convinced.,1
And Jason said:,0
Don’t believe every bit of idle gossip you hear in the playground.,1
Why would Santa not want to go to Iceland?,1
His reindeer love ice and snow.,1
It’s hot places like Australia that they find difficult.,1
"And even though Jason knew that Dad wasn’t always right about everything, he decided to believe him this time, because what he said sounded like it was true.",0
"And by the time they landed, he was feeling excited about Christmas in Iceland. And it was true that Iceland was an amazing place.",0
"They stayed with Dad’s old University friend – whose name was Magnus. He lived on his own in Reykjavik, which is the capital, and he even though he was Dad’s age, he seemed quite young and friendly, and he quite often said funny or interesting things.",0
"He told them that by law, all Icelandic houses must be built strong enough to withstand earthquakes.",0
"And all the hot water in Icelandic homes came straight out the ground, already hot.",0
And sometimes farmers would dig up potatoes in the fields that were already cooked.,0
"And Magnus and his girlfriend took Jason and his family out for drives and walks to see frozen lakes, icy glaziers, and bright red streams of boiling lava from the volcanos.",0
"At that time of year, the sun only rose at elevenam in the morning – and it set by fourpm in the afternoon.",0
"But sometimes when they were really lucky, they saw great beams of green, yellow and blue light that curved round the sky like giant flames – and those were the famous Northern Lights. They were fantastic – one hundred times better than fireworks on bonfire night.",0
"But it was only after they had been there a couple of days, that Jason remembered to ask Magnus if it was true that Santa really did visit Iceland. They were just finishing dinner, and Jason’s mum laughed:",0
He’s been ever so worried because somebody told him at school that Santa doesn’t come here.,1
And Magnus looked very grave and said:,0
That’s right.,1
He doesn’t.,1
And Jason felt the blood run cold out of his cheeks and he thought he might be sick.,0
"Oh, don’t joke about Santa,",1
said Mum.,0
Jason’s deadly serious about him.,1
"I’m not joking,",1
"said Magnus,",0
"but don’t worry Jason, because we are very lucky here.",1
"We have thirteen little Imps who do Santa’s work for him – and if you are interested, I’ll tell you the story.",1
"And Jason was very interested, because he thought Magnus was good at telling stories.",0
And this is what Magnus told them:,0
"A long time ago, when Santa first got into the toy business, he set up his factory in the mountains of Iceland. He married an Icelandic girl called Gryla, and they had thirteen sons – all Impish boys – who used to help them in the factory.",0
"And they also had a black cat, who grew and grew until he was simply enormous.",0
For a while Santa was very happy.,0
"Every Christmas, children would make their way up to his special toy shop, and Santa and Gryla would hand out presents.",0
"But one Christmas Day, when Santa finished work, he went to look in the kitchen cupboard for something warming to drink.",0
"And to his surprise, he found that the door to the cupboard was locked.",0
"And as he shook and rattled the door, he heard a sound from within, – something like children crying.",0
Santa always had a hammer and chisel in his belt for making toys – and he took those out and broke the lock on the door.,0
"And inside the cupboard, he found six little children, who shrank back in terror from him.",0
"Yo, ho ho,",1
he said.,0
Don’t be frightened.,1
"It’s only me, Santa, and I like little children.",1
"You like us for dinner, you mean,",1
said one little girl.,0
Perish the thought!,1
"No, no no.",1
"I like to make toys and bring them to children as presents,",1
he said.,0
Even naughty children get a present from Santa – and don’t believe anyone who tells you different.,1
"And gradually the children came out of the cupboard, and explained that they had come to the factory for their christmas presents, – but they had been caught like mice by a giant black cat, who had picked them up by their collars brought them to this cupboard.",0
"Then Santa’s wife, Gryla,  had locked the door and said that they would be served for Christmas dinner because they had been naughty children.",0
"And when Santa heard this story, at first he didn’t believe them because it was so terrible – but then Gryla came into the kitchen and was furious with him for sneaking into the cupboard and letting their Christmas dinner escape before she had a chance to cook it.",0
"Too bad,",1
said Dad.,0
You should have done your homework better.,1
Now you’re getting potatoes for Christmas.,1
That’s Rubbish!,1
said Jason.,0
I don’t believe in those Imps. It’s just your idea of a joke.,1
You told Magnus to make up that silly story.,1
But Magnus swore that it was a true story.,0
"And he said that that night, they would be visited by Stubby, who liked to drink warm milk.",0
"So they left some warm milk out for Stubby, and Jason again put his shoes on the window sill.",0
"And in the morning, the warm milk was gone and inside his shoe Jason found – A bar of chocolate.",0
And Jason ate the chocolate.,0
But it he still didn’t believe the story about the thirteen Christmas Imps. He thought it was just Dad and Magnus playing a trick on him.,0
"And the following night, Magnus said that they would be visited by Itty Bitty,and that he was very small and would sneak into the kitchen like a mouse and steal any crumb that he could find.",0
"And in the morning, Magnus said he was sure that Itty Bitty had been and had nibbled some cheese and biscuits.",0
"And in his shoe, Jason found – a toy car.",0
He liked the car.,0
"But he still didn’t believe in the thirteen Christmas Imps. And the following night, Magnus said that they would be visited by Pot Scraper, who was extremely thin, and was so hungry that he would steal any left-overs or scraps.",0
"And instead of clearing away his plate after dinner, Magnus left it on the table, and in the morning it was licked clean.",0
"And next to his shoe, Jason found a book about famous footballers – he read the book, – but still he didn’t believe in the thirteen Christmas Imps. And the following night, Magnus said that they would be followed by Bowl Licker. And he left out a red wooden bowl that his girlfriend had used to make a chocolate cake.",0
And in the morning it was licked clean.,0
"And next to his shoes, Jason found a little wooden helicopter with blades that went round by solar power.",0
"He had seen one of those when he had been out shopping with Mum in London – and he remembered how Mum had said what a great idea it was to learn about renewable energy – and he reckoned that she had brought it with her to Iceland. And although he thought the solar-powered helicopter was interesting, he still didn’t believe in the thirteen Christmas Imps. And the following night Magnus said that they would be visited by Door Slammer. And while Jason lay in bed.",0
"he heard all the doors in the house slamming, one by one – and it was really creepy.",0
But he thought it was just Dad and Magnus playing a trick.,0
"And in the morning, beside his shoe, he found a DVD of Kung Fu Panda. And he watched the DVD, but still he didn’t believe in the thirteen Christmas Imps. And the following Night Magnus said that they would be visited by Skyr Gobbler. He explained that Skry liked yoghurt.",0
And so he left some out for the Imp. And in the morning it was gone.,0
"And beside his shoe, Jason found – a racing car set, with tracks, and electric stunt cars that could loop the loop in mid air.",0
And Jason though that the present was really cool.,0
"But still he didn’t believe in the thirteen Christmas Imps. And that night, Magnus said that they would be visited by Sausage Snatcher, who was really old and wrinkly, and whose face was dirty and sooty.",0
He was good at climbing into the rafters of the house where in the old days they used to hang sausages.,0
And so Magnus left a sausage up in the loft for him.,0
"And in the morning, the sausage was gone.",0
"And in his shoe, Jason found - A tangerine.",0
And Jason ate the tangerine.,0
"But he still didn’t believe in the thirteen Christmas Imps. And that night, Magnus said that they would be visited by Window Peeper. He said that he would be looking through the windows to see what he could steal.",0
So he left out some chocolates on the table.,0
"And that night, as he lay in bed, Jason heard a noise at the window.",0
"And he got up and drew the curtain, and expected to see Dad or Magnus. But instead he saw a huge black cat.",0
"It’s green eyes stared at him, and then it disappeared into the shadows.",0
Jason thought that was rather creepy.,0
"And in the morning, the chocolates were gone, and by his shoes, Jason found - Two tickets to a West-End show.",0
And Dad said that the Imp must have left them for Mum. So Jason gave them to her and she was really pleased.,0
But still Jason’ didn’t believe in the thirteen Christmas Imps – because how would they know that Mum wanted to see,0
Love-Story on Ice?,1
"And that night, Magnus said that they would be visited by Doorway Sniffer. He liked to hang around by the kitchen door, sniffing for the smell of fresh bread.",0
So he left a loaf of crusty bread on the table.,0
And in the morning it was gone.,0
"And by his shoe Jason found - A large deer-stalker hat, and Dad said that the Imp must have left it for him, and he was really pleased.",0
"But still Jason did not believe in the thirteen Christmas Imps, because how would they know that Dad had terrible taste in clothes?",0
"And that night Magnus said that they would be visited by Meat Hooker, who liked to dangle a hook down the chimney and catch any ham or fish that was smoking there.",0
"Magnus didn’t have a chimney, but he left a lamb chop out on the kitchen table for him, and in the morning it was gone.",0
"And in his left shoe, Jason found - A sixteen Gigabyte Mpthree player – and he thought that was pretty cool.",0
But still he wasn’t sure about the Christmas Imps – because how would they know that he had asked Santa for an MPthree player?,0
"And that night would be Christmas Eve. And Magnus said that they would be visited by the last of the Imps, whose name was Candle Snatcher, and he liked to steal light bulbs, and so he left a fifty watt bulb on the kitchen table for him.",0
And Jason thought that he would finally prove that the thirteen Imps didn’t exist.,0
"He would get up in the night, hide by the kitchen door, and catch Dad or Magnus red-handed as they stole the light bulb off the table.",0
And so that night he stayed awake.,0
"And when it was really, really late he reached over to turn on the lamp by his bed – but it didn’t switch on.",0
"That’s strange,",1
he thought.,0
The bulb must have broken.,0
"He crept onto the landing, and down the stairs, and as he was next to the kitchen door, he heard a noise from within.",0
"I bet that’s one of them stealing the light bulb,",1
he said.,0
And so he jumped through the door and shouted,0
Caught you!,1
as he flicked the switch of the kitchen light.,0
But no light came on.,0
And it was dark inside the kitchen.,0
Magnus?,1
Is that you?,1
he asked.,0
But there was no reply.,0
Just then the sky through the kitchen window turned pale green and the room filled with an eery light.,0
"And by the kitchen table, he saw a little figure.",0
"It had a strange, yellow face, with bright cat-like eyes- and pointy ears.",0
In its hand it held a light bulb.,0
"The figure started to float upwards and backwards without moving its feet, and in a moment or two it had vanished through the glass of the window – even though it was tripple-glazed and firmly shut.",0
And in the morning there was nothing by Jason’s shoe.,0
But he did believe in the thirteen Christmas Imps.,0
"But Katie discovers that True Love must come from the heart, not from a magic spell.",0
And if you like Valentine stories try:,0
"Read by Natasha. Duration seventeen Minutes.  Proofread by Jana Elizabeth. Katie went to a nice school where most of the teachers were kind, but some of them were quite strict, and all of them could be moody and grumpy at times, just like anyone else can be.",0
"Unfortunately, Katie’s form teacher was more grumpy and more moody than most, and more often.",0
She was the only teacher in the whole school who the children hadn’t given a nick name to.,0
"For instance, Mr Philpots was known as Potty, which seemed to suit him quite well.",0
"Mrs Woodruff was called dandruff, and Miss Tidy was called Untidy because she was.",0
Katie’s teacher was called Miss Vile. That was her real name.,0
"So she didn’t have a nickname, because quite frankly, she didn’t need one.",0
Katie!,1
she said one morning.,0
This homework looks like it was done in about five minutes.,1
You know that you are meant to spend at least half an hour on it.,1
You will stay in at playtime and do it again.,1
Katie!,1
she said another time.,0
Those tights are not regulation school uniform.,1
"I will call your mother, she must take you home, and you must change them.",1
And Katie!,1
she said yet another time.,0
Stop muttering to yourself.,1
You know that magic spells are against the school rules.,1
When anybody misbehaved Miss Vile wrote their names up on a board called,0
The Wall of Shame.,1
"Everyone’s name was on it, except for Samantha’s and Matthew’s, because they were both goody-two-shoes who never did anything wrong.",0
But Katie’s name was written on The Wall of Shame more than anybody else’s.,0
"In fact, it was written right at the top of the board in large red letters with ten exclamation marks after it.",0
Katie didn’t feel ashamed.,0
But she did feel cross because it wasn’t fair.,0
"It was the end of January. Katie’s form was learning about the Chinese New Year, and how each year is named after an animal.",0
"Miss Vile asked Katie what was her Chinese symbol, and she said that she was born in the Year of the Cat, and then Miss Vile told her that that was impossible, because there wasn’t a Year of  the Cat, and Katie said:",0
"It’s possible for me because I’m a witch, and all witches are born in the Year of the Cat.",1
"And the whole class laughed, but Isis said:",0
That’s right Miss Vile. Katie’s different because she is a witch.,1
What utter clap-trap!,1
exclaimed Miss Vile.,0
I’ve told you before not to talk nonsense about magic and witches.,1
You will go and see the head teacher right now!,1
Both of YOU!,1
